date,station,temperature,precipitation,humidity,atmospheric_pressure,dew_point
20/06/2024,"Cruz",23.4,72.0,83.0,1008.0,26.5
21/06/2024,"Cruz",21.6,80.0,86.0,1012.0,18.7
25/01/2026,"Cruz",25.8,82.0,87.0,1010.0,19.0
26/01/2026,"Cruz",28.5,79.0,93.0,1002.0,22.5
27/01/2026,"Cruz",29.3,81.0,91.0,1000.0,23.6
28/01/2026,"Cruz",30.5,88.0,96.0,1006.0,22.1
29/01/2026,"Cruz",26.8,74.0,99.0,1017.0,19.0
30/01/2026,"Cruz",28.4,96.0,74.0,1201.0,26.5
31/01/2026,"Cruz",27.4,82.0,90.0,1004.0,24.8
01/02/2026,"Cruz",27.8,74.0,84.0,1007.0,26.2
